helics_simulation_time,powerRequired
1329.0,-544.7922536530336
1330.0,-545.8459503429864
1331.0,-546.8706808394734
1332.0,-547.8667445307055
1333.0,-548.8213438881965
1334.0,-549.714986056704
1335.0,-550.5643012407976
1336.0,-551.4289426563645
1337.0,-552.2384908800198
1338.0,-552.9884030485191
1339.0,-553.6909624823256
1340.0,-554.3482594715292
1341.0,-554.9896266057548
1342.0,-555.5735873330725
1343.0,-556.1375932505483
1344.0,-556.6231471232586
1345.0,-557.0460199480513
1346.0,-557.4394067027157
1347.0,-557.7883690695429
1348.0,-558.0976362549659
1349.0,-558.3616344677188
1350.0,-558.5829699269635
1351.0,-558.7612470676593
1352.0,-558.8988483392342
1353.0,-558.9960535546234
1354.0,-559.0533958537105
1355.0,-559.0724623416304
1356.0,-559.0545465089102
1357.0,-559.0008847506433
1358.0,-558.911551518503
1359.0,-558.789083993811
1360.0,-558.6343337470215
1361.0,-558.4484503092942
1362.0,-558.2331681166786
1363.0,-557.9896161183982
1364.0,-557.7205664194721
1365.0,-557.4278107121942
1366.0,-557.112646431949
1367.0,-556.7757581269865
1368.0,-556.4193148908339
1369.0,-556.0449836825843
1370.0,-555.653956769822
1371.0,-555.246740456862
1372.0,-554.8253919768788
1373.0,-554.3913442234169
1374.0,-553.9461402276368
1375.0,-553.4914564796222
1376.0,-553.028643961904
1377.0,-552.5591864765106
1378.0,-552.0852956765141
1379.0,-551.6099132706311
1380.0,-551.1340329211653
1381.0,-550.6594548026327
1382.0,-550.1863731079181
1383.0,-549.713672826141
1384.0,-549.2441337989533
1385.0,-548.7788978900611
1386.0,-548.3178960997766
1387.0,-547.8602780910556
1388.0,-547.4078547754892
1389.0,-546.9612987365231
1390.0,-546.5236175204416
1391.0,-546.0989646289036
1392.0,-545.68684475377
1393.0,-545.2887880556118
1394.0,-544.9006398466285
1395.0,-544.516257418156
1396.0,-544.1397419382766
1397.0,-543.7706407251213
1398.0,-543.4147540250327
1399.0,-543.0792599842895
1400.0,-542.761153334386
1401.0,-542.4620566463437
1402.0,-542.1810042148329
1403.0,-541.9167680543608
1404.0,-541.6719222068277
1405.0,-541.4472704196289
1406.0,-541.234303915751
